timestamp,turn,kn0,kn1,kn2,kn3,kn4,kn5,kn6,ks0,ks1,ks2,ks3,ks4,ks5,ks6
48,5.3976,2.4034289099054936e-08,0.001614449835236855,-0.003156505780013066,0.2460787929868829,40.925381334145804,-11654.73497442507,0.08752862242896242,-6.234944741035907e-08,-4.100715837021523e-06,0.0007382992685026453,-565.1856201571757,-23.66985144177298,-39236.93211874524,1.0
49,5.51005,2.4565654587961672e-08,0.0016487989030575852,-0.0032248662122808225,0.2514418906678243,41.81068233704973,-11902.805257944705,-0.026715633055472088,-6.375624259280005e-08,-4.23669733309534e-06,0.0007543130887858832,-577.4325706796288,-24.183274858981335,-40358.078768186235,1.0
50,5.6225,2.5097011986500952e-08,0.0016831689070273459,-0.003293208185526186,0.2567921216963363,42.69576414931112,-12150.43473223546,0.11354500923591182,-6.516445757316646e-08,-4.374187233714662e-06,0.0007703995561802188,-589.6750807913348,-24.698318061138906,-41484.6428547353,1.0
51,5.7349499999999995,2.4414347383423864e-08,0.00171749670138796,-0.003283205951028727,0.26213811100021445,39.26330266420327,-12397.556102894087,145467.00414020807,-6.656414005981032e-08,-4.510532721321552e-06,0.0007862833525429481,-601.8850713668862,-25.20904018324681,-42614.05479232145,1.0
52,5.8473999999999995,2.61556941272852e-08,0.0017518454439420825,-0.003429482072712382,0.2674772213746671,44.46046462100279,-12644.350051679094,-0.11945216585725582,-6.797392967222479e-08,-4.648878273605667e-06,0.0008023478521416979,-614.0889315318192,-25.722924504195937,-43749.935587667154,1.0
53,5.959849999999999,2.5430152139746476e-08,0.001786205420001571,-0.0034166543750827226,0.2728109368264411,40.878742345676905,-12890.656464487643,150427.01542515424,-6.937531812257835e-08,-4.788475099422465e-06,0.0008182567033181997,-626.2700735864731,-26.233623212545293,-44893.84381691026,1.0
54,6.072299999999999,2.5930129738708312e-08,0.001820575910111971,-0.0034827765070409734,0.27813529214433974,41.66051825489365,-13136.459426501619,153704.9266642899,-7.077709756195596e-08,-4.930131640424887e-06,0.0008341041019333809,-638.4316647924534,-26.74250088016456,-46043.85000589587,1.0
55,6.184749999999999,2.6435438750625036e-08,0.0018549669821773783,-0.0035492135218332358,0.28345343905817943,42.461116140380476,-13381.955908847865,156331.67083175486,-7.218187626269379e-08,-5.072222808986305e-06,0.000850018815731375,-650.5872811602455,-27.252631524165718,-47198.88724669024,1.0
56,6.2972,2.6937132996412575e-08,0.0018893354016945312,-0.003615293855105201,0.2887571700527522,43.249671870237634,-13626.681756368926,159283.77496375516,-7.358407964079178e-08,-5.214819420164786e-06,0.0008659746908800352,-662.7101202680861,-27.763193930278455,-48358.24659338034,1.0
57,6.40965,2.744757322565245e-08,0.0019237238225359922,-0.003681934422289488,0.2940658162267475,44.070854350875614,-13871.407206241785,161116.81377241932,-7.498450195805648e-08,-5.358306655179078e-06,0.0008818668363729861,-674.8272332051774,-28.272869190173733,-49522.79240769345,1.0
58,6.5221,2.7951319696705705e-08,0.0019581187218799746,-0.003747914073338712,0.29936513875206877,44.858798465329514,-14115.631882465814,164040.20065736628,-7.638038417411569e-08,-5.502346288958326e-06,0.000897595710852724,-686.9252018993998,-28.77856258180409,-50691.807578522596,1.0
59,6.63455,2.8454862697500806e-08,0.0019925199222846726,-0.0038139113889770334,0.30465705992184905,45.65390084217873,-14359.420069396587,166652.61346389333,-7.777750201560926e-08,-5.647552440359483e-06,0.0009133845991172016,-699.0041325188554,-29.285328023360794,-51865.669067190145,1.0
60,6.747,2.895873454429757e-08,0.0020269410566341114,-0.003879737525118622,0.30994292812119983,46.439924549317105,-14602.911586091053,169569.27193988382,-7.917486469020293e-08,-5.795120863265667e-06,0.0009291490203589495,-711.0775450540931,-29.791318385626607,-53045.60726806598,1.0
61,6.85945,3.0899689899520405e-08,0.0020613574110386434,-0.004038053382659078,0.31521928438983604,52.34007017852215,-14845.799563511162,0.2637130320756942,-8.057349238920628e-08,-5.942843967814059e-06,0.0009449333678914323,-723.1185973320261,-30.297148787746433,-54229.097439336176,1.0
62,6.9719,2.996926280390861e-08,0.0020957934559420826,-0.00401118585034848,0.3204894978321947,48.01791244979606,-15088.397953582118,175018.9976671211,-8.196628852229464e-08,-6.090280408026677e-06,0.0009606742478618549,-735.1544538823738,-30.80237739377118,-55416.28286428245,1.0
63,7.08435,3.0480474287674674e-08,0.0021302196262459414,-0.004077057279184587,0.32575922640693195,48.81950017889389,-15330.731791775941,177275.31790116604,-8.335724490617706e-08,-6.238403512779294e-06,0.0009762757971598268,-747.1715928540696,-31.304173727009854,-56607.6230066648,1.0
64,7.1968,3.248701315375631e-08,0.0021646362393935655,-0.00423926509233769,0.3310091135104752,54.944933394061984,-15572.293796017584,-0.23826392419426168,-8.475257199070626e-08,-6.3882122260064554e-06,0.0009921472835740007,-759.1700975249985,-31.811748701021116,-57803.73259743877,1.0
65,7.30925,3.301728117965066e-08,0.0021990717369545234,-0.004306200113015385,0.33627168778008576,55.81140780975182,-15814.07276151425,0.03390241869526989,-8.614619494380024e-08,-6.538054497258097e-06,0.0010078625428007642,-771.1636097029957,-32.3155277512304,-59003.65687336988,1.0
66,7.4216999999999995,3.200156955593187e-08,0.002233488397500673,-0.004273325988904679,0.34151672664960103,51.17512496777879,-16055.031919312658,185424.78528380144,-8.75245427408807e-08,-6.691381831165227e-06,0.0010232352580542459,-783.1250166498484,-32.81198815134136,-60209.28494589305,1.0
67,7.5341499999999995,3.2514039290138065e-08,0.002267924204985906,-0.004338874954244722,0.3467550440435052,51.973787936804804,-16295.705907519618,187619.64219297247,-8.891913869746055e-08,-6.8424577557559205e-06,0.001039067533560148,-795.0817172921791,-33.317759684766585,-61416.73466441811,1.0
68,7.646599999999999,3.4609637328489135e-08,0.0023023688560349677,-0.004506315820347139,0.3519840968339073,58.401874127236624,-16535.901671109234,-0.43939988454485324,-9.030352593376262e-08,-6.993794830318711e-06,0.0010546364217891555,-807.0200976496737,-33.81775519696793,-62627.55090377519,1.0
69,7.759049999999999,3.3535628060496645e-08,0.0023368221227148965,-0.00446925389921914,0.3572089896232622,53.54375209268647,-16775.76852286247,192806.82977946204,-9.168523756786266e-08,-7.1482935858798705e-06,0.0010701880270477832,-818.9401670261044,-34.317275986682176,-63843.92365223502,1.0
70,7.871499999999999,3.5675773155268245e-08,0.0023712938953145643,-0.004639337203581438,0.36244248246831007,60.12373369544245,-17015.752214850338,-0.23964100158494261,-9.306806549798197e-08,-7.302052524135129e-06,0.0010858016824451622,-830.8556595723051,-34.81824592135627,-65063.4316546597,1.0
71,7.983949999999999,3.455832427255443e-08,0.002405750338090892,-0.004599208148998973,0.3676448240374418,55.10523725559794,-17254.56650563075,198118.20866508986,-9.445217344363135e-08,-7.4559352153922665e-06,0.001101536641357978,-842.7394946793535,-35.321000052408884,-66285.00333029663,1.0
72,8.0964,3.507418876323533e-08,0.002440225079687245,-0.004664266395127255,0.37285550704817094,55.89517779620702,-17493.497259868043,200412.79350675028,-9.582863269352229e-08,-7.610952524429798e-06,0.0011169859709995941,-854.618886905234,-35.81774367938937,-67510.93906722705,1.0
73,8.20885,3.558597904891301e-08,0.0024746937828888497,-0.004728970449080313,0.3780591191052265,56.669921545479966,-17732.016760931852,203175.03134126618,-9.72018638799005e-08,-7.766248594738285e-06,0.0011324540646584708,-866.4802969910891,-36.314865136450976,-68739.94894843876,1.0
74,8.321299999999999,3.6107138126052927e-08,0.0025091563543421943,-0.004794150887610731,0.3832537125367931,57.47490152543688,-17970.06865947905,204877.35597732518,-9.857763730902804e-08,-7.923132451172031e-06,0.0011479859459378032,-878.3237789631584,-36.81297280640357,-69972.97018315151,1.0
75,8.43375,3.661977720968858e-08,0.0025436374086384925,-0.004858701421993957,0.38844582671440175,58.24554184671101,-18207.99852482265,207733.75575077772,-9.994818568949309e-08,-8.079777144105821e-06,0.0011633228717581588,-890.16444868554,-37.30674908282848,-71207.78573064004,1.0
76,8.546199999999999,3.713369893788209e-08,0.0025781010043642695,-0.004923253413120316,0.3936223540265391,59.02460362982715,-18445.13412762889,210217.88965667906,-1.0132773990698602e-07,-8.238097347391156e-06,0.001178928641061664,-901.9722616108523,-37.80495573350182,-72447.14360934246,1.0
77,8.65865,3.9422054252850364e-08,0.0026125825626851047,-0.005102073218783789,0.39880347469375804,66.11296741292853,-18682.305938039528,0.5774723969961365,-1.0269653885044357e-07,-8.397122355103118e-06,0.0011943076309717281,-913.775992507732,-38.29978162212549,-73690.07426586878,1.0
78,8.771099999999999,3.995776400223151e-08,0.0026470564334264697,-0.0051678308475785655,0.40397386218398135,66.96400485222296,-18918.96425016392,-0.30512663622190717,-1.0405893455127611e-07,-8.554791922863979e-06,0.0012096870718707607,-925.5620975554996,-38.79454108938634,-74934.3710491077,1.0
79,8.88355,3.868207014968411e-08,0.0026815223869883663,-0.005116603695350149,0.40913848235290645,61.35950981760491,-19155.257019748526,217596.5929590441,-1.0543161609038164e-07,-8.712967601399633e-06,0.001225196957352225,-937.3306050506088,-39.29128013183271,-76181.50975846822,1.0
80,8.995999999999999,3.918872954303096e-08,0.002716006459122533,-0.005180218469802139,0.4142913537103583,62.09714136332538,-19391.145839852874,221366.27426756686,-1.0679935553049184e-07,-8.873539932853847e-06,0.0012404872261173336,-949.0951246079071,-39.782430937891874,-77433.26213712746,1.0
81,9.10845,4.1571854193767975e-08,0.0027504987341883695,-0.005364632061294269,0.41943877259082707,69.51102254091529,-19626.579721637107,0.7101690830715351,-1.0816369217285245e-07,-9.033110388593894e-06,0.0012558918751011039,-960.828549635888,-40.276469676012645,-78686.1751044437,1.0
82,9.2209,4.211178320441816e-08,0.002785008659466108,-0.00543009458103249,0.42458842715462736,70.35824461696701,-19861.99172801006,0.7811966651206694,-1.0953197065148323e-07,-9.19456503749632e-06,0.0012712662441163578,-972.558166523711,-40.76931305177457,-79943.16788389838,1.0
83,9.33335,4.2651423441219616e-08,0.002819508073588109,-0.005495447517435113,0.42973291411939535,71.2039830388539,-20097.04009120892,0.9214010009181497,-1.1089545298113082e-07,-9.355883666793975e-06,0.001286587921372732,-984.2704018426134,-41.260901001954,-81202.05731845181,1.0
84,9.4458,4.31901726139375e-08,0.002853997014598851,-0.005560681587994546,0.43486536364078127,72.04810159410437,-20331.56548642619,0.6937547289535054,-1.1225202216784677e-07,-9.517217288289167e-06,0.001301852447102906,-995.9653194233101,-41.751860210299576,-82463.51405524717,1.0
85,9.55825,4.373198309947465e-08,0.0028885035373015836,-0.005625924451999807,0.4399937965073928,72.89248681388598,-20565.891769411483,0.9213598986756115,-1.1361368164189076e-07,-9.681199822758669e-06,0.0013171241372406173,-1007.6565348587294,-42.24221463823526,-83729.38313095506,1.0
86,9.6707,4.427414549535412e-08,0.0029230127654494243,-0.005690987749976024,0.445107290644363,73.73448375704736,-20799.52868083512,0.17995040636650605,-1.1496846621105467e-07,-9.84218088095205e-06,0.001332395563459128,-1019.3169567182276,-42.73236064923193,-84994.50763237278,1.0
87,9.78315,4.481846130149392e-08,0.0029575390837219,-0.0057560359233068395,0.4502311034948697,74.57626894407802,-21033.353026574634,0.9213208046899692,-1.16328025357861e-07,-1.000400330419762e-05,0.001347738933503211,-1030.9738899896495,-43.22378375706024,-86262.64018248675,1.0
88,9.8956,4.536284436385981e-08,0.0029920518380093957,-0.005820967924208762,0.4553383998298885,75.41646946993862,-21266.523799363556,0.9212983880141347,-1.1768226712799227e-07,-1.0168658682123345e-05,0.0013630482260282596,-1042.6135902660042,-43.71455577490804,-87534.94186209509,1.0
89,10.008049999999999,4.388292219792271e-08,0.003026550431375162,-0.00575521618616229,0.4604489356446475,69.04589002387073,-21499.57772553553,243039.0936271954,-1.1903210685326067e-07,-1.033222922425658e-05,0.0013781885359670524,-1054.2362651649898,-44.20105260412629,-88808.33259540821,1.0
90,10.1205,4.6457750957147175e-08,0.003061066520276393,-0.005950647641907882,0.46554499718712683,77.09460926617113,-21732.162303511326,0.9191631762738465,-1.2037496345293143e-07,-1.049872925915617e-05,0.0013931394189557703,-1065.8554950302444,-44.68394612069059,-90086.31430808366,1.0
91,10.232949999999999,4.495008266716836e-08,0.003095578101489038,-0.005882753726441212,0.47063713938468643,70.61356176313828,-21964.35375265841,246684.50101023345,-1.217270211579472e-07,-1.066198022881128e-05,0.001408521564394269,-1077.4441483883347,-45.1757676999466,-91363.2681828371,1.0
92,10.3454,4.7556947811884144e-08,0.003130106978376179,-0.006079931618342304,0.47571760868155116,78.76748050803543,-22196.146998298453,-0.18342541342745566,-1.2307001707004945e-07,-1.0828202325525818e-05,0.0014236081927862443,-1089.0295039343773,-45.66095506606112,-92644.5593503976,1.0
93,10.457849999999999,4.810892280601833e-08,0.003164632712454407,-0.0061444721713092626,0.48079816453330076,79.60264016316519,-22427.756493674075,0.7077767485039771,-1.2441553504216932e-07,-1.0993296592937155e-05,0.0014386948158150023,-1100.5979904893845,-46.14515761542781,-93926.49223131979,1.0
94,10.5703,4.8662926466049915e-08,0.0031991553990719126,-0.006208924286431774,0.48587003719973254,80.43668296178603,-22658.936040163757,0.9190687464325515,-1.257594425575446e-07,-1.1159950353254792e-05,0.001453929742444583,-1112.149593156509,-46.63270631278081,-95211.37509914221,1.0
95,10.682749999999999,4.921978872717607e-08,0.0032336949272368126,-0.006273369443911145,0.4909416106810686,81.27069524954373,-22890.037558608994,0.8780678423452618,-1.2709945601576972e-07,-1.1326183659929512e-05,0.001469107134157195,-1123.6981131776024,-47.11960037002805,-96497.94165035384,1.0
96,10.7952,4.9775917108027444e-08,0.003268221911046538,-0.0063376133042826145,0.49600357292115727,82.10190591662077,-23120.573404448805,0.8896469801784568,-1.2843671017868878e-07,-1.1492279137800227e-05,0.0014841473320400579,-1135.2161383395828,-47.602939566473374,-97785.82863542961,1.0
97,10.90765,5.0334856126838586e-08,0.0033027655358830892,-0.006401859625263808,0.5010685645758296,82.93332123293123,-23351.128633419085,0.04177868236916005,-1.2977479177743558e-07,-1.1659498490060436e-05,0.001499214207157165,-1146.7311773736421,-48.08657314817553,-99076.31163877662,1.0
98,11.0201,5.089454000347907e-08,0.00333730186709894,-0.006465992925083917,0.5061170321277179,83.76310973991541,-23581.043354084944,-0.13679664590030294,-1.3111289427411366e-07,-1.182700064560019e-05,0.0015143391704672744,-1158.22950599494,-48.571245416360675,-100368.64457306232,1.0
99,11.13255,4.923683756958049e-08,0.0033718305908222606,-0.006386981911751655,0.5111580953614672,76.69352826174925,-23810.568052827704,266265.5357702968,-1.3243649361531843e-07,-1.1996839943415317e-05,0.0015290958071832441,-1169.7111327701848,-49.04821269815619,-101664.21937644458,1.0
100,11.245,5.202004560742339e-08,0.0034063757792009808,-0.006594082791893994,0.5162031470603278,85.4205674389732,-24040.143254080278,0.9213770574723106,-1.3378616874640597e-07,-1.2166707743478554e-05,0.0015444898237426754,-1181.189898939053,-49.537899444202274,-102961.64646637352,1.0
101,11.35745,5.258492073529386e-08,0.003440929138508509,-0.006657951266211143,0.5212252060420698,86.24703436528321,-24268.812155043845,-0.2878092935784635,-1.3510871651348278e-07,-1.2333273688429013e-05,0.0015593115263840447,-1192.6384526201068,-50.015836024884244,-104257.4256823468,1.0
102,11.469899999999999,5.0877261048040916e-08,0.0034754988787499682,-0.0065752093746571545,0.5262511159339223,78.98062516307708,-24497.526876837375,272801.99883213773,-1.3643399692620578e-07,-1.2501689385639412e-05,0.0015742362549479388,-1204.084218075086,-50.49577268134748,-105556.41454827346,1.0
103,11.58235,5.1416732529226546e-08,0.003510055693035834,-0.006637056529755992,0.5312829821643725,79.70001483015267,-24726.203177450654,276363.574227624,-1.377586341961515e-07,-1.2671027160672121e-05,0.0015891169535086668,-1215.5134515005952,-50.97469970770096,-106857.43536270634,1.0
104,11.694799999999999,5.4290836686562774e-08,0.0035446002052636023,-0.0068492175123557415,0.536292165756558,88.72190446824457,-24954.0918417353,1.0,-1.390836435122547e-07,-1.2840261585619716e-05,0.001604023639943139,-1226.9262552845062,-51.45378500179907,-108159.69549642573,1.0
105,11.80725,5.486302328543227e-08,0.003579161364099106,-0.006912865866136159,0.5413070650253458,89.54547837957946,-25182.092587333813,1.0,-1.4041536145378865e-07,-1.3010541659246784e-05,0.0016190911202980543,-1238.3372709956996,-51.93582106298483,-109463.85960880332,1.0
106,11.919699999999999,5.54359294393896e-08,0.00361369006073953,-0.0069763389059411055,0.5462993521030041,90.36675101051117,-25409.153781750156,1.0,-1.4174060278338698e-07,-1.3181612206497964e-05,0.0016339437484137332,-1249.717215632758,-52.41313460333585,-110769.93883259934,1.0
107,12.03215,5.601079629858425e-08,0.0036482345326881555,-0.007039798514545445,0.5513082924599186,91.18784689485533,-25636.60658703934,1.0,-1.4305729099916022e-07,-1.3351261401537902e-05,0.001648676749849724,-1261.0946870197663,-52.88784281511812,-112076.50983836623,1.0
108,12.144599999999999,5.658690965360596e-08,0.0036827904309812494,-0.0071031713177429345,0.5563019234913529,92.00784408366975,-25863.4784119151,1.0,-1.44379682886035e-07,-1.352008994139658e-05,0.001663635199762053,-1272.4558672590474,-53.367227358505055,-113383.41461950878,1.0
109,12.25705,5.716363048892042e-08,0.003717357410542253,-0.007166450300181772,0.561291716594962,92.82663334181682,-26090.07248533082,0.7897867506892058,-1.4569596333145258e-07,-1.369221634715353e-05,0.0016784696510237496,-1283.800680151853,-53.84411692182837,-114694.22254232722,1.0
110,12.369499999999999,5.774226983450039e-08,0.003751940700603559,-0.007229715426584162,0.5662742873993656,93.64522898449661,-26316.436958930426,0.8302921185574657,-1.4701154630718954e-07,-1.3863830450615934e-05,0.0016932030752202852,-1295.143069976281,-54.31842389931772,-116006.0605067339,1.0
111,12.48195,5.8319757282999624e-08,0.0037864803752623334,-0.007292789923832506,0.571239526381907,94.46125094365786,-26542.006250222785,0.9658016790632568,-1.4832869643002286e-07,-1.4036416438353115e-05,0.0017080307500156064,-1306.4554115131725,-54.794340694880034,-117319.37204992522,1.0
112,12.5944,5.8900846991835224e-08,0.003821035712714497,-0.007355885967134375,0.5762169515970128,95.27776611894416,-26767.85697488177,-0.4436522620491219,-1.4965109472472085e-07,-1.420697266673074e-05,0.001722943179147597,-1317.765508796667,-55.27162684388668,-118632.31375336731,1.0
113,12.70685,5.698672282605095e-08,0.003855596014215933,-0.007258007158534109,0.5811909390661729,87.2111536796127,-26993.442019604194,299412.3803933982,-1.5096445234767928e-07,-1.437759956510715e-05,0.0017378893731372518,-1329.059449742881,-55.75050318819357,-119946.42789291198,1.0
114,12.8193,6.006314704342106e-08,0.003890161725847132,-0.007481776863401272,0.5861419890321122,96.90665361137037,-27218.25587627799,0.42730897448640026,-1.522814687096123e-07,-1.4550362081736906e-05,0.0017526727802349385,-1340.3372367073425,-56.22443770092939,-121263.10861298528,1.0
115,12.93175,5.810882066496656e-08,0.003924743548269199,-0.0073810980172789665,0.5911052740793216,88.68979620092759,-27443.360941484385,304432.6539822405,-1.5358299417018775e-07,-1.4724092758813146e-05,0.0017670215189693284,-1351.6135017997717,-56.68971944276585,-122581.48826910075,1.0
116,13.0442,5.868794617352708e-08,0.003959297832718571,-0.007443492941786859,0.5960510689237454,89.48214540231989,-27667.67878020213,305095.71103814937,-1.548945767881853e-07,-1.4895756688739605e-05,0.001781961498128048,-1362.8592032522997,-57.167649421771195,-123899.17470564418,1.0
117,13.156649999999999,5.9242993927229005e-08,0.003993867908408614,-0.007504504120768228,0.6009958531475048,90.2013958476135,-27891.91817984987,308179.40595822484,-1.5620894244756098e-07,-1.506704033779703e-05,0.0017968027982295865,-1374.1027888208298,-57.64229875553096,-125217.6699485687,1.0
118,13.2691,6.239547261375788e-08,0.004028436506947207,-0.007732699091622059,0.6059260838219303,100.15321993767881,-28115.60359840219,-0.06288980663922572,-1.5750847276688328e-07,-1.5241712647837035e-05,0.0018113407579250361,-1385.3302639068763,-58.11203786032382,-126539.99626076574,1.0
119,13.381549999999999,6.037763627266015e-08,0.004063003230118931,-0.007627427224857698,0.6108547773722115,91.69783099201659,-28339.080646063998,312320.90110124456,-1.5881825338292764e-07,-1.5415491192146765e-05,0.001825999266579398,-1396.5418389248616,-58.58235925354835,-127862.1640480403,1.0
120,13.494,6.094374713856392e-08,0.004097586292666549,-0.007688708377191634,0.6157788905030323,92.43902742972132,-28562.408061541457,314593.65637785575,-1.6012400765890604e-07,-1.5588218423553374e-05,0.0018406810308577446,-1407.7520838424616,-59.05399814062725,-129184.26456241259,1.0
121,13.606449999999999,6.415293421016338e-08,0.004132156753071019,-0.00792010128048405,0.620704481166679,102.57793340420601,-28785.466299665575,0.9654243748161421,-1.6143309092286595e-07,-1.5760758624055785e-05,0.0018553698842869383,-1418.9318988890218,-59.524276638391136,-130506.7176703219,1.0
122,13.7189,6.473984427216852e-08,0.004166743169965198,-0.007982432424213221,0.6256150860904749,103.38437309450849,-29008.077930159376,0.9654125324526187,-1.6273369603781548e-07,-1.59380701188497e-05,0.0018699441191887016,-1430.1095765277685,-59.99426530345607,-131834.75342541235,1.0
123,13.831349999999999,6.53272923034035e-08,0.004201320325857102,-0.008044682312664371,0.6305330616625248,104.18982405698378,-29230.721295146195,-0.048796389451087996,-1.640354274700115e-07,-1.610982318939477e-05,0.0018845603913361345,-1441.271604288695,-60.463718162917374,-133158.72123237338,1.0
124,13.9438,6.591414489564333e-08,0.004235888759920877,-0.00810683541714769,0.6354322256842511,104.99395057829135,-29452.684413004637,-0.047102100776169165,-1.6535070678064838e-07,-1.6282936250433644e-05,0.001899291210342754,-1452.4178037902388,-60.93452887750467,-134484.40364202866,1.0
125,14.056249999999999,6.650197589434795e-08,0.004270472743538975,-0.008168984596388115,0.6403284623850275,105.79803251288827,-29674.534921490744,0.06912989529630242,-1.6664772665755796e-07,-1.6459965890359075e-05,0.0019137869621467215,-1463.5619766944099,-61.401720193024964,-135814.2530232515,1.0
126,14.1687,6.434700399420685e-08,0.004305058910691601,-0.008054223298404394,0.6452341745937261,96.84210802047002,-29896.360151069093,328948.02522907057,-1.6794453332717218e-07,-1.663264739826759e-05,0.0019282201481774766,-1474.6766563351687,-61.866781589321135,-137140.87550371946,1.0
127,14.281149999999998,6.492894965207354e-08,0.004339661230837642,-0.008115908674669022,0.6501097869715098,97.62856779951056,-30117.341402089743,329458.3985863312,-1.692482556301529e-07,-1.680681122614451e-05,0.001942830531660881,-1485.7895110265626,-62.33604374395632,-138469.18169112154,1.0
128,14.3936,6.826193357747365e-08,0.004374246152944609,-0.008354813872271312,0.6549966036532925,108.20225904356063,-30338.453380833253,0.9653664286068635,-1.705543664630713e-07,-1.6983171418091625e-05,0.0019574169833160987,-1496.8865746867339,-62.803032356882674,-139800.6329590411,1.0
129,14.50605,6.606611503638508e-08,0.004408814466675762,-0.008237187507639316,0.6598583876543909,99.09555895936414,-30558.724563343527,333957.73983341776,-1.7184803486334774e-07,-1.7155389006899254e-05,0.001971813776905468,-1507.9681336732676,-63.2669892682273,-141129.1656197481,1.0
130,14.6185,6.943722187572821e-08,0.004443398212845839,-0.008478415507982702,0.6647373304473327,109.8014773262916,-30779.42605107175,0.965157358369769,-1.7315477504180867e-07,-1.7332952265561065e-05,0.001986468549223971,-1519.048373136369,-63.73603751783011,-142462.40423651956,1.0
131,14.73095,7.002328566896912e-08,0.0044779977343449955,-0.008540024748310714,0.6696045933642256,110.59848177839238,-30999.540861465128,0.9649475045910614,-1.744478448148743e-07,-1.7508168999323314e-05,0.0020008094796968574,-1530.0985800426774,-64.19834621583226,-143794.2009269937,1.0
132,14.843399999999999,6.776991166617172e-08,0.004512612562960756,-0.008418537857654609,0.6744701923700038,101.2866848896867,-31219.57643656501,340788.2405403469,-1.7575482135585068e-07,-1.7683878531433894e-05,0.0020153325478403264,-1541.1471422566015,-64.66353437942824,-145127.21594224038,1.0
133,14.95585,7.119468131895668e-08,0.004547201940306931,-0.008663134606381562,0.6793228813369196,112.19112802464726,-31439.08293758017,0.96493699882361,-1.7703967655637954e-07,-1.7859011274551906e-05,0.0020294810786511447,-1552.1801467325272,-65.1218974966386,-146460.25398050915,1.0
